MO,DY,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,1,58.2,69.9,40,79.2,56,78,78.3,72.1,77.3,71.5,85.19,40.24,83.35,82.54,87.27,83.29,73.2,83.49,85.23,85.48,77.74,85.6,81.88,73.59,85.19,82.55,85.21,83.76,70.01,68.2
1,2,39.4,64.5,40.4,75.2,73.5,66.4,83.1,41.3,79.3,74,86.38,81.94,85.75,80.73,84.73,83.16,77.23,81.95,66.26,86.79,82.81,83.28,82.48,71.96,86.76,76.29,84.77,69.21,71.9,79.96
1,3,71.3,69.8,29.4,76.8,75,82.9,77.9,45.9,78.3,72.1,82.7,76.12,82.3,75.13,85.41,78.27,86.12,83.17,78.86,85.65,78.23,81.47,82.3,61.3,85.69,78.92,82.96,80.44,83.3,81.53
1,4,71.3,65.8,54.4,78.8,74.3,78.9,79.4,46.6,74.4,73.1,81.27,70.14,81.7,77.3,77.76,82.56,86.05,64.15,80.24,87.09,79.25,82.38,81.7,77.12,86.91,67.16,82.11,80.77,79.68,79.44
1,5,71.5,74.8,44.3,77.8,74.7,77.5,77.5,17.9,75.4,73.5,78.34,37.94,89.16,74.93,82.91,81.77,83.47,47.34,80.74,87.93,59.55,83.88,82.35,53.72,83.45,71.15,79.96,80.81,80.86,29.95
1,6,73,75.4,68.5,75.3,73.2,54.8,78.3,84.4,76.5,68.4,83.2,64.19,86.25,83.44,84.82,84.25,76.82,81.5,79.53,87.98,75.01,83.77,83.4,31.82,84.2,77.5,84.38,84.31,67.92,85.42
1,7,75.2,73.1,65.6,76,74.4,72.5,75,82.4,87.4,61,61.2,76.02,87.05,78.52,50.38,72.52,59.21,72.98,77.8,86.2,81.39,84.81,81.26,87.78,82.45,81.87,83.46,82.15,65.98,83.11
1,8,75.5,71.2,73.3,78.9,74.4,53.6,60.8,79.5,67.5,68.1,53.87,53.02,86.12,58.53,75.58,50.05,75.2,73.72,79.64,88.59,80.45,85.27,79.8,88.01,75.51,73.93,80.03,82.55,74.23,75.33
1,9,71.4,73.1,81.5,63.8,76.3,74.4,77.3,12.3,41,66.8,86.07,65.23,83.23,52.18,75.42,80.78,79.72,73.64,78.63,86.66,70.41,86.2,77.98,82.78,63.05,60.38,83.7,86.24,73.2,64.26
1,10,63.9,60.6,29.2,77.6,75.8,67.5,76.1,36.7,83.2,61.7,86.43,60.44,88.1,76.23,50.83,62.19,68.79,69.39,73.05,88.76,73.09,84.95,83.81,39.02,74.43,73.51,86.04,87.8,67.66,86.74
1,11,24.7,77.4,21.9,77.2,85.7,37.9,79.5,81.2,74.5,71.9,90.44,46.97,85.34,51.7,88.38,59.95,76.99,51.88,73.88,89.65,81.27,85.26,79.27,76.83,82.96,79.92,84.43,87.53,82.26,82.55
1,12,27.3,44.2,26.1,79.8,80.4,84.7,80.6,85.3,50.6,78.2,88.39,82.35,87.95,62.06,83.76,85.01,74.35,61.15,81.23,86.03,79.14,87.01,78.99,88.16,77.52,55.1,85.91,89.9,68.84,84.63
1,13,29.7,84.1,64.3,84.1,83.8,86.3,80.6,79.7,30.3,77.5,89.49,86.49,87.38,77.17,81.54,81.53,78.69,31.15,80.58,88.73,79.41,87.44,54.91,88.49,78.43,81.12,80.39,89.31,75.6,88.88
1,14,70.8,80.7,80,77.9,78.2,85.5,82,82,48.4,77.6,89.73,85.79,87.59,74.72,79.44,81.12,75.76,33.43,90.63,86.08,64.05,87.11,77.82,88.99,76.51,90.16,77.15,91.09,73.59,87.54
1,15,75,78.1,89.3,81.3,77.3,84.6,67.8,82.5,38.2,81,90.23,76.09,82.02,89.85,78,75.56,75.05,45.44,89.16,90.29,74.04,83.66,81.56,88.15,79.74,89.13,68.33,87.95,80.88,86.11
1,16,54.2,74.6,97,50,77.1,74.8,77.2,81.7,83.5,80.9,89.54,87.28,83.28,88.44,80.35,65.91,39.72,90.52,91.02,89.29,56.74,85.28,93.38,80.8,81.59,90.3,81.37,87.15,85.17,89.94
1,17,67.5,76.7,78.6,79.4,85,71.4,80,83.2,92,28.9,88.57,86.65,89.44,22.11,70.16,75.61,82.71,89.31,81.65,88.7,58.55,88.59,87.95,85.79,77.12,86.37,83.97,90.08,90.14,89.2
1,18,82.2,41,83.2,79.8,92.4,81.7,80.1,84.6,86.5,64.3,90.31,89.75,90.88,66.26,82.36,74.53,74.66,61.29,86.78,85.08,19.68,85.91,86.35,67.53,46.22,88.48,84.93,84.82,82.04,91.08
1,19,79.3,77.9,56.8,78.6,87.1,82,83.8,83,87.2,83,86.7,91.07,88.59,87.01,74.07,66.74,42.16,80.66,82.29,87.31,78.6,86.64,88.93,92.52,91.21,87.55,74.22,83.27,74.52,86.21
1,20,76.9,73.7,85.8,79.2,85.7,66,63.7,80.9,85.6,81.9,90.01,90.52,67.9,90.05,69.68,83.38,76.39,84.2,87.46,71.5,61.88,86.21,85.73,90.46,95.16,87.45,84.98,70.21,79.38,87.34
1,21,89.2,77.3,35.9,87.2,82.8,68.7,71.6,84.4,85.6,74.6,89.28,91.81,60.03,93.48,53.22,75.2,81.09,70.72,90.41,76.73,34.09,91.87,87.72,90.04,93.97,89.44,45.91,91.59,75.59,85.23
