MO,DY,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,1,13.78,15.26,12.84,17.73,12.76,13.29,15.72,17.97,17.47,13.5,11.73,15.15,8.46,15.04,11.84,11.01,7.39,17.07,19.01,12.94,12.03,16.08,15.73,13.98,13.31,18.71,17.34,13.98,14.06,16.5
1,2,14.1,14.69,14.92,17.66,10.16,14.61,14.72,15.64,13.65,13.86,12,16.37,8.95,16.82,12.63,11.01,5.01,17.51,10.68,12.3,12.01,17.58,15.46,12.08,13.77,14.82,15.6,13.27,17.92,18.86
1,3,11.13,7.48,16.16,17.56,11.96,14.59,12.23,12.82,11.59,13.14,12.73,18.35,11.92,18.9,15.23,13.06,4.59,18.15,7.33,13.57,13.83,14.15,14.51,12.72,14.27,9.25,15.37,10.87,19.13,20.17
1,4,12.84,4.96,17.38,18.13,12.26,16.21,12.55,14.76,10.73,15.26,12.81,17.84,12.8,19.09,13.69,12.95,6.11,18.92,9.7,12.99,15.33,11.81,12.9,14.22,15.19,9.2,13.82,13.03,14.01,20.83
1,5,14.15,2.39,18.15,16.85,12.4,18.09,13.01,15.28,11.37,16.3,12.25,16.4,13.44,18.13,14.01,12.92,7.8,15.72,12.15,13.59,17.26,12.79,15.14,15.94,13.5,12.28,10.93,15.2,14.73,14
1,6,9.83,3.62,17.4,12.06,13.25,16.69,12.92,10.96,12.7,18.24,12.98,17.77,14.28,19.31,13.62,13.41,12.38,12.08,12.42,14.1,16.55,15.08,17.44,11.83,14.37,14.44,10.51,13.37,16.58,10.49
1,7,9.86,6.73,18.59,11.98,13.64,14.4,13.58,8.57,16.06,14.4,14.62,19.45,13.79,19.95,10.51,14.84,10.96,6.05,14.01,11.35,15.01,16.68,17.61,7.44,16.35,15.15,13.65,12.36,18.4,12.11
1,8,12.86,10.2,18.9,13.62,13.43,15.65,15.08,11.14,17.38,13.9,11.85,15.99,14.35,16.23,12.11,15.88,11.09,8.05,13.65,10,14.67,18.26,14.41,8.36,13.67,16.76,17.38,9.53,16.07,15.1
1,9,15.08,7.17,16.2,14.1,14.83,17.02,15.14,9.01,14.01,15.71,8.38,10.63,14.8,18.78,14.58,17.26,10.54,10.03,13.28,11.91,15.25,19.51,15.5,11.19,10.76,17.94,18.94,8.61,16.42,14.43
1,10,11.7,8.51,13.48,14.15,16.03,17.48,15.58,9.11,10.98,11.47,8.96,14.45,14.42,18.54,14.9,15.49,11.21,11.86,15.49,12.22,11.05,17.08,11.73,12.73,10.87,13.25,16.95,9.7,11.66,12.42
1,11,9.04,8.04,13.03,14.83,16.77,14.87,15.54,11,11.23,9.33,10.89,14.32,12.56,17.73,8.19,18.67,13.42,14.4,13.88,11.19,11.07,17.8,8.12,12.37,7.26,11.39,17.27,11.11,12.04,9.32
1,12,9.87,5.87,12.26,15.65,16.74,10.96,15.38,11.57,11.05,11.29,11.16,9.3,12.58,18.07,6.52,18.47,14.86,8.72,13.19,11.72,10.76,18.65,7.28,7.83,7.9,12.51,16.01,10.73,14.15,8.05
1,13,14.94,7.26,8.77,15.85,16.59,9.92,16.06,6.08,12.97,12.06,11.63,7.79,12.32,17.62,6.92,15.96,15.9,9.86,8.37,12.08,12.26,18.15,9.94,7.87,8.07,13.54,15.6,11.52,15.69,10.87
1,14,16.52,11.17,5.59,16.87,14.05,9.44,16.95,5.73,12.73,11.06,11.94,8.58,12.01,14.22,8.8,14.72,12.05,5.96,4.88,13.33,14.35,12.28,11.94,10.8,12.07,13.85,11.73,11.01,17.19,9.67
1,15,11.57,12.61,6.21,17.69,14.04,10.87,18.19,7.08,12.73,13.04,10.82,9.41,13.43,12.49,12.17,11.11,11.62,4.48,6.83,13.8,16.94,9.7,9.33,13.97,14.7,15.67,14.38,12.98,18.23,7.69
1,16,13.33,15.94,6.37,13.9,15.09,13.51,18.44,7.69,15.85,16.8,12.24,12.97,12.96,13.09,15.19,11.83,11.48,2.47,9.62,13.69,13.74,11.64,7.05,15.51,16.24,16.12,15.94,11.45,19.76,10.22
1,17,15.17,13.8,5.01,10.26,16.08,12.1,12.51,9.55,17.48,13.05,11.7,12.06,8.65,11.63,17.02,12.61,7.87,4.8,9.64,14.06,10.8,14.2,7.55,15.48,15.3,15.67,13.59,11.88,15.75,12.65
