MO,DY,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,1,4.71,3.06,4.05,3.27,3.88,4.44,2.7,4.72,3.73,2.37,2.9,4.97,5.23,4.02,3.02,2.26,2.48,3.39,4.78,4.37,2.62,5.02,3.16,2.43,2.54,4.97,2.89,4.18,4.78,3.35
1,2,5.12,5.77,4.27,4.8,2.6,5.73,4.66,4.14,4.23,2.23,3.73,3.84,2.02,5.08,4.74,3.81,3.58,5.6,6,2.16,2.46,4.41,4,3.7,2.87,4.33,3.76,4.87,5.59,6.1
1,3,3.77,5.05,6.12,4.93,2.32,4.86,3.13,5.12,3.57,3.43,5.61,4.39,4.68,4.49,5.04,3.68,2.65,3.7,3.74,3.31,3.65,3.86,3.47,4.62,3.84,3.88,3.77,3.34,5.82,6.6
1,4,3.35,4.04,4.23,4.59,2.01,3.66,2.09,6.72,1.98,4.53,2.05,3.21,5.66,2.94,4.96,4.16,2.39,4.91,1.62,3.93,4.83,2.99,2.99,5.83,4.88,3.34,3.81,3.58,4.08,4.38
1,5,3.98,3.99,4.92,3.87,3.09,5.95,1.96,5.67,4.08,5.48,3.69,5.7,1.84,4.69,5.52,4.05,5.17,3.64,2.7,2.46,4.55,3.21,5.45,6.58,3.5,4.02,3.71,4.21,3.31,3.47
1,6,3.48,2.16,5.34,3.66,2.53,4.99,2.54,4.41,5.02,3.86,5.15,7.34,1.76,4.95,5.77,4,4.34,4.21,3.46,3.88,2.74,4.7,4.1,5.15,4.93,3.64,2.68,4.32,5.43,3.02
1,7,2.37,3.45,6.09,2.54,2.12,4.16,3.35,2.29,5.3,4.83,6.22,7.07,2.84,6.32,3.77,4.9,3.6,3.55,4.37,4.24,3.98,3.95,4.48,3.9,4.73,2.27,4.04,4.45,4.07,3.11
1,8,4.16,3.83,4.15,2.24,2.55,5.34,3.8,3.02,6.03,5.13,5.09,3.84,3.17,3.88,4.91,4.99,3.11,2.5,4.04,3.54,4.03,4.97,2.84,1.75,5.55,5.48,3.44,4.85,5.55,4.71
1,9,5.23,3.45,3.04,2.41,3.09,5.12,3.49,3.42,4.56,4.55,4.71,5.02,3.55,3.03,6.21,3.41,3.23,3.65,3.34,2.82,5.43,4.64,4.85,3.62,4.23,5.28,3.7,4.09,4.78,3.07
1,10,4.45,5.91,4.3,2.88,4.58,5.8,3.87,3.1,3.81,3.69,3.55,5.26,2.65,5.91,5.36,5.41,3.85,5.29,4.99,3.13,3.88,5.02,5.18,6.98,4.91,3.97,2.65,1.63,4.23,3.66
